Bank of Tanzania ,
Fiscal year,Total government expenditure ( Million of TZS )
1963/64,839
1964/65,981
1965/66,1122
1966/67,1318
1967/68,1351
1968/69,1649
1969/70,1986
1970/71,2392
1971/72,2378
1972/73,3147
1973/74,4007
1974/75,5995
1975/76,5613
1976/77,7572
1977/78,9206
1978/79,10195
1979/80,12230
1980/81,14755
1981/82,17387
1982/83,18999
1983/84,20410
1984/85,25550
1985/86,27002
1986/87,38474
1987/88,45443
1988/89,57297
1989/90,98429
1990/91,125933
1991/92,161474
1992/93,263413
1993/94,374962
1994/95,"398,023.8"
1995/96,"420,522.1"
1996/97,"507,153.654"
1997/98,730336.08
1998/99,"816,706.486"
1999/00,1168778.79
2000/01,1305035.28
2001/02,"1,466,135.566538"
2002/03,"1,733,385.0103"
2003/04,"2,516,943.13247"
2004/05,"3,164,215.544321"
2005/06,"3,873,254.771337"
2006/07,"4,474,680.902993"
2007/08,"5,208,995.874365"
2008/09,"6,734,078.021939"
2009/10,"8,173,749.284327"
2010/11,"9,439,407.228285"
2011/12,"10,764,528.379729"
2012/13,"12,714,236.449825"
2013/14,"13,958,161.87365"
2014/15,"14,603,714.353313"
2015/16,"17,759,598.000153"
2016/17,"18,889,969.060089"
2017/18,"20,445,960.240995"
2018/19,"22,265,371.971077"
2019/20,"24,128,140.453585"
2020/21,"26,585,306.716161"
2021/22,"31,107,770.912185"
2022/23,"33,054,214.004218"
